epoch,train_loss,train_acc,val_loss,val_acc
1,1.1285041010166494,0.6222664015904572,1.0857783037325683,0.6792452830188679
2,0.4104969179179986,0.852882703777336,0.9405722774424643,0.7396226415094339
3,0.24700011148545187,0.9125248508946322,1.1798682535717369,0.720754716981132
4,0.26320519841926,0.911530815109344,0.8512697193420158,0.769811320754717
5,0.15444667408498333,0.94831013916501,0.9347906668793481,0.769811320754717
6,0.13779458104379133,0.952286282306163,0.9123290711416389,0.7622641509433963
7,0.10603332190559603,0.963220675944334,0.8454115404835287,0.7773584905660378
8,0.07843278851323052,0.9721669980119284,0.855506649254909,0.7962264150943397
9,0.08457037635799312,0.9761431411530815,0.9278814305674356,0.7886792452830189
10,0.05957589650602556,0.9821073558648111,0.8540111378924745,0.7849056603773585
11,0.03925443590418704,0.9870775347912525,1.0077732839401952,0.7773584905660378
12,0.026284449178332954,0.9910536779324056,0.8683149911814703,0.8037735849056604
13,0.02752810369743771,0.9850894632206759,0.8603665861415343,0.8037735849056604
14,0.020096312373298893,0.9940357852882704,0.8504373883824128,0.8113207547169812
